,start_frame,end_frame,start_sec,c_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,inter_w_hand,inter_w_foot
0,25,99,1,10,3,4,2,2,2,5,['tabletop'],
1,300,374,12,10,3,4,2,2,2,5,['table leg'],"['table leg', 'tabletop']"
2,550,624,22,10,3,4,2,2,2,5,,
3,950,1024,38,9,3,4,1,2,2,5,,"['table leg', 'tabletop']"
4,1225,1299,49,10,3,4,2,2,2,5,,"['table leg', 'tabletop']"
5,1900,1974,76,10,3,4,2,2,2,5,,
6,2175,2249,87,9,3,3,2,2,2,5,"['table leg', 'tabletop']",
7,2475,2549,99,9,3,3,2,2,2,5,"['table leg', 'tabletop']",
8,2775,2849,111,10,3,4,2,2,2,5,['tabletop'],
9,3200,3274,128,10,3,4,2,2,2,5,,
